URL_length,parameter_maxlen,digit_percentage,letter_percentage,parameter_number,XSS_count,evil_char_count,char_0,char_13,char_14,char_16,char_17,char_18,char_20,char_21,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,label
43,34,0.0,0.697674,1,4,13,3,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
38,34,0.0,0.657895,1,4,13,3,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
40,34,0.0,0.675,1,4,13,3,5,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
413,2,0.300242,0.401937,5,15,123,3,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
41,34,0.0,0.682927,1,5,13,3,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
52,34,0.0,0.711538,2,5,15,3,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
112,84,0.232143,0.482143,4,5,32,1,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
42,34,0.0,0.690476,1,4,13,3,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
44,34,0.0,0.704545,1,5,13,3,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
82,47,0.012195,0.768293,2,4,18,3,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
73,24,0.0,0.739726,2,4,19,2,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
47,39,0.021277,0.702128,2,4,13,2,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
65,60,0.169231,0.6,1,5,15,2,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
67,60,0.164179,0.61194,1,5,15,2,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
63,60,0.174603,0.587302,1,5,15,2,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
65,61,0.169231,0.584615,1,5,16,2,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
67,62,0.164179,0.58209,1,5,17,3,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
73,62,0.178082,0.561644,2,5,19,3,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
68,62,0.161765,0.588235,1,5,17,3,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
26,21,0.0,0.769231,1,1,6,2,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
